TokenID,ASTrns,ASUncc,ASUnrg,AktAcc,AktAch,AktAct,AktSemel,AktState,ClCntfcl,ClNegPol,DtDTAM,DtExp,DtRes,DtUniv,TLAspPfv,TLMdIrr,TLTS,VcPass
40001018,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y
40001024,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
40003002,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y
40003017,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
40004012,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y
40005027,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N
40005038,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N
40005043,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
40006002,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y
40006005,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y
40006016,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N
40007028,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,N
40008010,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y
40008029,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N
40009008,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N
40009016,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y
40009022,Y,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,N
40009033,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N
40010023,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,Y
40011012a,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y
40011012b,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y
40011021a,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y
40011021b,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y
40011023a,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y
40011023b,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y
40011025a,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N
40011025b,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N
40011027,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y
40012007a,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,Y
40012007b,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,N
40012018,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
40012028,Y,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y
40013051,N,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N
40013052,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y
40014004,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y
40015006,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y
40015013,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y
40015032,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y
40017009,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y
40017012,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
40018012,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y
40018013a,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y
40018013b,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y
40018015,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y
40018031,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y
40019006,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N
40019011,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N
40019012,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y
40019020,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y
40019027,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N
40019028,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y
40019029,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N
40020007,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N
