TokenID,ASTrns,ASUncc,ASUnrg,AktAcc,AktAch,AktAct,AktSemel,AktState,ClCntfcl,ClNegPol,DtDTAM,DtExp,DtRes,DtUniv,TLAspPfv,TLMdIrr,TLTS,VcPass
40001018,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N
40001024,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y
40003002,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40003017,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y
40004012,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N
40005027,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N
40005038,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N
40005043,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N
40006002,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N
40006005,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N
40006016,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40007028,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y
40008010,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N
40008029,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40009008,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y
40009016,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N
40009022,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40009033,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N
40010023,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
40011012a,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
40011012b,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y
40011021a,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N
40011021b,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y
40011023a,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N
40011023b,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,Y
40011025a,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40011025b,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40011027,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N
40012007a,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,Y
40012007b,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N
40012018,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40012028,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
40013051,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
40013052,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N
