TokenID,annotation_KD,annotation_BB,annotation
40001018,0,0,Y
40001024,0,0,Y
40003002,0,1,N
40003017,0,0,Y
40004012,0,0,Y
40005027,1,1,Y
40005038,1,1,Y
40005043,1,1,Y
40006002,0,0,Y
40006005,0,0,Y
40006016,0,0,Y
40007028,0,0,Y
40008010,1,1,Y
40008029,0,0,Y
40009008,0,0,Y
40009016,0,0,Y
40009022,0,1,N
40009033,1,0,N
40010023,0,0,Y
40011012a,0,0,Y
40011012b,1,0,N
40011021a,0,0,Y
40011021b,0,0,Y
40011023a,0,0,Y
40011023b,0,0,Y
40011025a,0,0,Y
40011025b,0,1,N
40011027,0,0,Y
40012007a,1,0,N
40012007b,1,0,N
40012018,0,0,Y
40012028,0,0,Y
40013051,1,0,N
40013052,0,0,Y
40014004,0,0,Y
40015006,0,0,Y
40015013,1,0,N
40015032,0,0,Y
40017009,0,0,Y
40017012,0,0,Y
40018012,0,0,Y
40018013a,0,1,N
40018013b,0,0,Y
40018015,0,0,Y
40018031,0,0,Y
40019006,0,1,N
40019011,0,0,Y
40019012,0,0,Y
40019020,1,0,N
40019027,0,1,N
40019028,0,0,Y
40019029,0,0,Y
40020007,0,0,Y
40020012a,1,0,N
40020012b,0,0,Y
40020012c,1,0,N
40020023,0,0,Y
40021016,0,0,Y
40021042a,1,0,N
40021042b,0,0,Y
40022004,0,0,Y
40022031,1,0,N
40022034,0,1,N
40023023,0,0,Y
40023030,1,0,N
40024043a,0,0,Y
40024043b,0,0,Y
40024043c,0,0,Y
40025021,0,0,Y
40025027a,0,0,Y
40025027b,0,0,Y
40026001,0,0,Y
40026009,0,1,N
40026024a,0,0,Y
40026024b,1,1,Y
40026047,0,0,Y
40026056,0,0,Y
40026065,0,1,N
40027004,1,0,N
40027019,1,0,N
40027023,1,0,N
40027046,0,0,Y
40027060,0,1,N
40028005,0,1,N
40028006,0,0,Y
40028007a,0,1,N
40028007b,1,0,N
40028018,0,0,Y
40028020,0,0,Y
41001015,0,1,N
41001024,0,0,Y
41002012,1,0,N
41002017,0,0,Y
41003021,0,1,N
41003026,0,0,Y
41004015a,1,1,Y
41004015b,0,0,Y
41004016,1,1,Y
41004018,1,1,Y
41004029,0,1,N
41005014,0,1,N
41005015,0,0,Y
41005018,0,0,Y
41005020,1,0,N
41005032,1,0,N
41005034,0,1,N
41006014a,0,0,Y
41006014b,0,1,N
41006030,1,0,N
41006052,1,1,Y
41007029,0,1,N
41009009a,1,0,N
41009009b,0,1,N
41009013a,0,0,Y
41009013b,0,0,Y
41009021,0,0,Y
41009034,1,0,N
41010009,0,0,Y
41010020,1,0,N
41010028a,0,1,N
41010028b,0,0,Y
41010029,0,1,N
41010040,0,0,Y
41010052,0,1,N
41011002,1,0,N
41011017,0,0,Y
41012010,1,0,N
41013019,1,0,N
41013023,1,0,N
41014005a,0,1,N
41014005b,0,0,Y
41014009,0,0,Y
41014021a,1,0,N
41014021b,0,0,Y
41014023,0,0,Y
41014041,0,0,Y
41014064,1,1,Y
41015014,1,0,N
41015034,0,0,Y
41015046,0,0,Y
41016002,0,1,N
41016006a,0,1,N
41016006b,0,1,N
41016008,0,1,N
41016010,0,0,Y
41016011,1,1,Y
41016014a,1,0,N
41016014b,0,0,Y
41016019,0,0,Y
42001001a,1,0,N
42001001b,0,0,Y
42001003,1,0,N
42001013,1,1,Y
42001017,0,0,Y
42001019,0,0,Y
42001020,0,0,Y
42001025,1,0,N
42001030,0,1,N
42001034,1,0,N
42001036,0,1,N
42001048,1,0,N
42001049,0,0,Y
42001054,0,0,Y
42001068a,1,0,N
42001068b,0,0,Y
42002015,0,0,Y
42002017,1,1,Y
42002020a,1,1,Y
42002020b,1,0,N
42002030,1,0,N
