TokenID,ASTrns_KD,ASTrns_annotations_30,ASTrns,ASUncc_KD,ASUncc_annotations_30,ASUncc,ASUnrg_KD,ASUnrg_annotations_30,ASUnrg,AktAcc_KD,AktAcc_annotations_30,AktAcc,AktAch_KD,AktAch_annotations_30,AktAch,AktAct_KD,AktAct_annotations_30,AktAct,AktSemel_KD,AktSemel_annotations_30,AktSemel,AktState_KD,AktState_annotations_30,AktState,ClCntfcl_KD,ClCntfcl_annotations_30,ClCntfcl,ClNegPol_KD,ClNegPol_annotations_30,ClNegPol,DtDTAM_KD,DtDTAM_annotations_30,DtDTAM,DtExp_KD,DtExp_annotations_30,DtExp,DtRes_KD,DtRes_annotations_30,DtRes,DtUniv_KD,DtUniv_annotations_30,DtUniv,TLAspPfv_KD,TLAspPfv_annotations_30,TLAspPfv,TLMdIrr_KD,TLMdIrr_annotations_30,TLMdIrr,TLTS_KD,TLTS_annotations_30,TLTS,VcPass_KD,VcPass_annotations_30,VcPass
40001018,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40006016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011012b,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40012018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40018012,0,0,Y,1,0,N,0,1,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40019028,1,0,N,0,1,N,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40022004,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40025027b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
40027023,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41001015,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
