TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive construction 'had been promised' involves an external argument (agent) and an overt internal argument (Mary), fulfilling the passive criterion for ASTrns.",0,high,"The verb 'had been promised' licenses an external argument (the promiser), indicating an agentive or causative relation, thus not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument (Mary is the recipient of the promise), so it does not instantiate ASUnrg.",0,high,'Had been promised' denotes a punctual event of commitment or agreement without a durative process or inherent endpoint measured over time.,0,high,"'had been promised' denotes a state or condition resulting from a prior event rather than a punctual transition into a new state, and it does not indicate a near-instantaneous boundary event.",0,high,"'had been promised' denotes a completed, bounded event with a defined result state (a promise made), not a dynamic durative activity.",0,high,The event 'had been promised' entails a resulting state of promise and is not a single punctual occurrence without change of state.,1,high,'had been promised' denotes a stable relational configuration (a promise existing over time) without dynamic change or eventive unfolding.,0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication of counterfactuality or unfulfilled condition.,0,high,The target gram 'had been promised' is not negated; there is no negator or negative quantifier negating this verb in the sentence.,0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial; 'had been promised' is simply past perfect without explicit temporal adverbial.",0,high,"'had been promised' entails a change of social/legal status that remains in effect at the reference time, thus not instantiating DtExp.",1,high,The phrase 'had been promised' describes a change of social/legal status (promise of marriage) that is currently held at the reference time.,0,high,The clause describes a discrete event of a promise rather than a continuous or habitual situation over a time span.,0,high,"The phrase 'had been promised' describes a stative situation without a construed boundary or transition event, and the clause does not present a single bounded occurrence.",0,high,"The phrase 'had been promised' asserts a realized past event without modal, conditional, future, or hypothetical context.",1,high,"The auxiliary 'had' is morphologically past and is followed by 'been' plus a past participle 'promised', indicating past perfect passive construction.",1,high,"'had been promised' is formed by auxiliary 'had' + 'been' + past participle 'promised', the subject 'Mary' is the patient, and the external agent is implied (someone promising), consistent with passive voice."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him'), satisfying the condition for ASTrns.",0,high,The verb 'had commanded' licenses an external argument (the angel of God) who performs the action of commanding.,0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not meet the criteria for ASUnrg.",0,high,"'Had commanded' denotes a punctual act of issuing an order, lacking a durative process or inherent endpoint.",0,high,'had commanded' denotes an ongoing or durative state of giving orders rather than a punctual transition into a new state.,0,high,"'had commanded' denotes a completed, bounded event with a specific result (issuing a command), not a durative ongoing activity.",0,high,"The event 'had commanded' entails a resulting change of state by issuing a command, thus not a single punctual occurrence without change of state.",0,high,'had commanded' denotes a past completed action (a bounded dynamic event) rather than a static state or condition.,0,high,The clause presents a factual past event without any indication of counterfactuality or unfulfilled condition.,0,high,The target gram 'had commanded' is not negated; there is no negator or negative quantifier in the clause.,1,high,"The clause contains the temporal conjunction 'When' introducing a clausal past time anchor, indicating DtDTAM.",0,high,"The verb 'had commanded' denotes a past event that sets the scene for subsequent actions and does not indicate frequency, negative perfect, or perception focused on occurrence; it also does not describe a life experience but a completed past command.",0,high,The verb 'had commanded' reports a past directive without indicating that the command is currently in effect or that a resulting state persists.,0,high,'had commanded' refers to a discrete past event (a command given) rather than a continuous or habitual situation over a time span.,1,high,"The clause 'the angel of God had commanded him to do' presents a completed, bounded event in the past, indicating a discrete command given and completed before Joseph acted.",0,high,"'had commanded' asserts a realized past event in the actual world, not a modal, conditional, future, or hypothetical context.",1,high,"'had commanded' is morphologically past perfect with auxiliary 'had' plus past participle, matching the past perfect criterion.",0,high,"'had commanded' is in active voice with 'he' as the agent performing the action, no auxiliary 'been' or 'by'-phrase present, so it does not instantiate VcPass."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument; it is intransitive with no overt direct or indirect object.,1,high,'has come near' denotes directed motion/change-of-location where the sole argument undergoes displacement and no external argument is licensed.,0,high,The verb phrase 'has come near' denotes a change-of-location event with the subject functioning as a theme rather than an external argument.,0,high,'has come near' denotes a punctual boundary transition (arrival near a location) without a durative process or inherent endpoint duration.,1,high,'has come near' denotes a punctual or near-instantaneous transition into a new state and can be interpreted as occurring at a defined temporal boundary.,0,high,"The phrase 'has come near' denotes a bounded event with a defined result state (the kingdom of heaven reaching a near position), not a durative or ongoing activity.",1,high,"'has come near' describes a single punctual dynamic occurrence without a resulting change of state, fitting the semelfactive definition.",0,high,"'has come near' denotes a dynamic change-of-state event indicating approach, thus not a static state.",0,high,The clause presents a factual statement without any indication of counterfactuality or unfulfilled condition.,0,high,The target gram 'has come near' is not negated; there is no negator or negative quantifier in the sentence.,0,high,The clause contains no temporal adverbial or temporal conjunction indicating past time; 'has come near' is present perfect without explicit past time anchor.,0,high,"The phrase 'has come near' entails a change of location resulting in a current state relevant to the discourse, not an experiential event or frequency.",1,high,"The verb phrase 'has come near' is a motion verb indicating that the kingdom of heaven has moved to a location near the reference point and remains there, entailing a resulting state currently in effect.",0,high,The phrase 'has come near' describes a discrete event indicating a transition rather than a continuous or habitual situation over a time span.,1,high,"The predicate 'has come near' is a transition event asserting a completed whole, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The phrase asserts a realized situation in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram uses present-tense 'has' followed by a past participle 'come' with no modal, future, or progressive marking.",0,high,The target 'has come near' is not in the form 'have been + past participle' and 'come' here is an intransitive verb without passive morphology; the subject is not a patient and there is no 'by'-phrase.
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom'), satisfying the condition for ASTrns.",0,high,"'have approved' licenses an external argument (the subject who approves), so it is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument 'whom' (direct object), so it does not meet the criteria for ASUnrg.",0,high,'have approved' denotes a punctual change-of-state (approval) without a durative process or inherent endpoint measured over time.,1,high,"'have approved' denotes a punctual transition into a new state of approval, which can be seen as instantaneous and not durative.",0,high,"'have approved' denotes a completed, bounded cognitive event indicating a specific result state, not a durative ongoing activity.",0,high,"'have approved' entails a resulting state of approval, thus a transition into a new state, not a single punctual occurrence.",0,high,"'have approved' denotes a completed dynamic event of approval, indicating a bounded change-of-state rather than a static condition.",0,high,"The clause 'whom I have approved' is a factual statement within a declarative sentence, not a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,The target gram 'have approved' is not negated; there is no negator or negative quantifier in the sentence negating the target gram.,0,high,"The adverb 'Then' at the start is a logical connector introducing speech, not a temporal anchor, and there is no other temporal adverbial in the clause containing 'have approved'.",0,high,"'have approved' denotes a completed state of approval, not an experiential frequency or negative perfect about occurrence.",1,high,"The verb 'have approved' describes a change of social/legal status (approval) that is currently held, as indicated by the present perfect and the context stating 'This is my Son whom I have approved.'",0,high,The clause describes a discrete bounded event of approval rather than a continuous or habitual situation over a time span.,1,high,"The predicate 'have approved' presents a completed, bounded transition event asserting the approval as a discrete, concluded action.",0,high,"The phrase 'I have approved' asserts a realized state of affairs in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'have approved' is present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,The target 'have approved' is active with the subject as agent and no 'been' auxiliary or by-phrase indicating passive voice.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive ('had been arrested'), and the verb 'arrest' licenses both an external argument (agent) and an internal argument (patient), satisfying the passive condition for ASTrns = 1.",0,high,"'had been arrested' is a passive construction derived from an agentive verb that licenses an external argument, so it is not unaccusative.",0,high,"The verb phrase 'had been arrested' licenses an internal argument (the person arrested), indicating a change-of-state event with the subject as theme/patient rather than an external agent.",0,high,'had been arrested' denotes a punctual boundary transition (the event of arrest) without a durative process or inherent endpoint duration.,1,high,'Had been arrested' denotes a punctual transition into a new state (being under arrest) and can be seen as occurring at a temporal boundary without measurable duration.,0,high,"'had been arrested' denotes a completed, bounded event with a defined result state (the arrest), not a durative ongoing activity.",0,high,"'had been arrested' entails a resulting change of state (being under arrest), so it is not semelfactive.",0,high,"'had been arrested' denotes a bounded dynamic event (a completed arrest), not a static state.",0,high,The clause 'John had been arrested' is presented as a factual past event without any indication of counterfactuality or unfulfilled condition.,0,high,"The target gram 'had been arrested' is not negated; there is no negator such as 'not', 'never', negative quantifier, or 'neither...nor' construction in the sentence.",0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial indicating a temporal anchor.",0,high,"The phrase 'had been arrested' entails a change of state (being in custody) that holds at the reference time, indicating a resulting state rather than an experiential event.",1,high,The verb phrase 'had been arrested' describes a change of state (being arrested) and the past perfect indicates that this resulting state held at the reference time.,0,high,'had been arrested' describes a discrete bounded event (an arrest) rather than a continuous or habitual situation over a time span.,1,high,"The phrase 'had been arrested' presents a completed, bounded event (a transition into the state of being arrested) rather than an ongoing or habitual situation.",0,high,"The phrase 'had been arrested' reports a past event asserted as realized in the actual world, with no modal, conditional, future, or hypothetical context.",1,high,"The auxiliary 'had been' is morphologically past and followed by a past participle 'arrested', matching the past perfect construction.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested' of a transitive verb, the subject 'John' is the patient, and the passive meaning is clear though no explicit 'by'-phrase is present, which is allowed as the 'by'-phrase is not strictly required if the subject is patient."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it' (direct object), so it does not meet the criteria for ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware or understanding, without a durative process or inherent endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a state or durative event of perceiving information rather than a single punctual occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the onset or completion of awareness, which is dynamic and eventive, thus not instantiating AktState.",0,high,"The phrase 'You have heard it was said' is a factual statement presenting reported speech, not a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,"The auxiliary 'have' in 'have heard' is not negated, and there is no negative quantifier or 'never' modifying it; the negation 'not' applies to 'commit' in a different clause.",0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial; 'have heard' is present perfect without explicit temporal anchor.",1,high,"The phrase 'have heard' is a perfect verb of perception focusing on the occurrence of an experience (hearing) rather than a resulting state, with no duration or change of state indicated.",0,high,The verb 'have heard' reports a past perception event without entailing that the information is currently in effect or that a resulting state persists.,0,high,"The clause describes a discrete event of hearing something, not a continuous or habitual situation extending over time.",0,high,The phrase 'have heard' is a present perfect stative verb indicating knowledge or experience without a construed bounded endpoint or transition event.,0,high,"'have heard' asserts a realized past event without modal, conditional, or future context.",0,high,"The gram is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle 'heard' but lacks 'been' and no 'by'-phrase; the subject 'you' is the agent who performed the hearing, so it is active voice, not passive."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns = 1.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and is not a change-of-state, motion, existence, or copular verb.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the criteria for ASUnrg.",0,high,'have heard' denotes a punctual cognitive event marking the moment of perception without a durative process or inherent endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a bounded perceptual event marking the onset of awareness, lacking durative unfolding or ongoing action.",0,high,'have heard' entails a durative or experiential event rather than a single punctual occurrence without change of state.,0,high,"The phrase 'have heard' is morphologically progressive/perfect and denotes a bounded perceptual event marking the completion of awareness, thus it is dynamic and eventive, not a static state.",0,high,"The phrase 'You have heard' occurs in a declarative statement presenting a known saying, not in a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,The target gram 'have heard' is not negated; there is no negator or negative quantifier modifying it in the sentence.,0,high,The clause contains no temporal adverbial or temporal conjunction indicating past time.,1,high,The phrase 'have heard' is a positive perfect verb of perception focusing on the occurrence of an experience rather than a resulting state.,0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or binding.,0,high,"The clause describes a discrete event of hearing a saying, not a continuous or habitual situation over a time span.",0,high,'have heard' here is a present perfect stative usage indicating knowledge or experience without a construed bounded endpoint or transition event.,0,high,"'have heard' asserts a realized past event in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and the subject 'you' is the agent, not the patient, and there is no 'by'-phrase indicating a passive construction."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns = 1.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and involves an agentive or experiencer role, not a change-of-state, motion, or existence verb without external argument.",0,high,"The verb 'have heard' licenses an internal argument 'it', so the subject is not solely an external argument without an internal argument.",0,high,'have heard' denotes a punctual cognitive event marking the transition into awareness without a durative process or inherent endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the achievement criteria.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a state or experience over a period rather than a single punctual event without change of state.,0,high,"The phrase 'have heard' denotes a bounded perceptual event marking the onset or completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,"The phrase 'You have heard' occurs as a factual statement in the main clause, not in a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,The target gram 'have heard' is not negated; there is no negator directly negating 'have heard' in the sentence.,0,high,The clause contains no temporal adverbial or temporal conjunction indicating past time.,1,high,The phrase 'You have heard' is a perfect form of a perception verb focusing on the occurrence of an experience in the subject's life history.,0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or that a resulting state persists.,0,high,"The clause 'You have heard it said' describes a discrete event of hearing, not a continuous or habitual situation extending over time.",1,high,"The phrase 'have heard' presents a single bounded occurrence of hearing, indicating a completed event rather than an ongoing or habitual state.",0,high,"'have heard' asserts a realized past event and contains no modal, conditional, future, or hypothetical context.",0,high,"The gram is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and no 'by'-phrase; subject is agent who heard, so not passive."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' involves a lexical verb that licenses both an external agent (implied) and an internal patient argument, which is overtly realized as 'in full'.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the agent who pays), so it is not unaccusative.",0,high,"'have been paid' licenses an internal argument (the recipient of payment), so the subject is not an external argument without internal argument.",0,high,'have been paid' denotes a punctual event of payment completion without a durative process or inherent endpoint measured over time.,0,high,"'have been paid' denotes a completed state resulting from a process of payment, not a punctual transition or instantaneous event.",0,high,"The phrase 'have been paid' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"The phrase 'have been paid' entails a resulting change of state (being paid), so it is not a single punctual event without change of state.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment without dynamic unfolding or active effort, indicating a static condition.",0,high,The phrase 'have been paid' occurs in a factual statement about a completed action with no indication of counterfactuality or unfulfilled condition.,0,high,"The target gram 'have been paid' is not negated; 'already' indicates completion, and no negation word or negative quantifier modifies it.",1,high,"The clause contains the lexical past time adverb 'already', indicating a past temporal anchor.",0,high,"The phrase 'have been paid' indicates a completed change of possession with a resulting state relevant to the discourse, not a life experience or frequency.",1,high,The phrase 'have already been paid in full' indicates a completed change of possession with the resulting state (being paid) currently holding.,0,high,"The clause describes a completed, bounded event ('have already been paid in full') rather than a continuous or habitual situation over a time span.",1,high,"The phrase 'have been paid' is a passive perfect form asserting a completed, bounded event, indicating the hypocrites received full payment as a discrete occurrence.",0,high,"The phrase 'have been paid' asserts a realized state in the actual world, with no modal, conditional, future, or hypothetical context present.",1,high,"The gram includes 'been' followed by a past participle 'paid', indicating a perfect construction with 'been' as per the rules.",1,high,"'have been paid' is auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the phrase 'by men' is implied in the context of being praised, fulfilling passive criteria."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive clause 'have been paid in full' involves the verb 'pay' which licenses both an external agent and an internal patient, satisfying the passive condition with an overt internal argument.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the payer), so it is not unaccusative.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), indicating a passive construction with an internal argument realized.",0,high,'have been paid' denotes a punctual event of payment completion without a durative process or inherent endpoint measured over time.,1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, which can be seen as an instantaneous result state.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a durative ongoing activity.",0,high,"The phrase 'have been paid' entails a resulting change of state (being paid), so it is not a single punctual occurrence without change of state.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment, a static condition without dynamic unfolding or active effort.",0,high,The phrase 'have been paid' occurs in a declarative statement presenting a factual situation without any indication of counterfactuality or unfulfilled condition.,0,high,The target gram 'have been paid' is not negated; the sentence states a positive assertion without any negation on the auxiliary or negative quantifiers.,0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial; 'in full' is not temporal.",0,high,"'have been paid' entails a completed change of possession with the resulting state holding at the reference time, thus not instantiating DtExp.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (payment) currently in effect.,0,high,"The phrase 'have been paid' describes a completed, bounded event rather than a continuous or habitual situation over a time span.",1,high,"The phrase 'have been paid in full' presents a completed, bounded event with a completion-measure adverbial 'in full', indicating the payment is a finished transition.",0,high,"'have been paid' asserts a realized state of affairs in the actual world, with no modal, conditional, future, or hypothetical context.",0,high,"The gram 'have been paid' is present perfect formed with present-tense 'have' plus 'been' plus past participle 'paid', with no progressive participle following 'been'.",0,high,"'have been paid' is auxiliary 'have' + 'been' + past participle 'paid', but the subject 'they' is the semantic agent (doers) receiving payment, and there is no 'by'-phrase expressing an external agent; thus, it is not a passive construction with an external agent."
