Model,Claude,Claude,Claude,Claude,Claude
Metric,Precision,Recall,F1,Kappa,Alpha
Permutation,,,,,
full,0.6668051713934999,0.6607219556972792,0.6217901423522072,0.5225250228862655,0.513644885654815
abl1,0.6747968616803416,0.68391390522742,0.6342968871248491,0.5331112629941089,0.5226043168234292
abl2,0.6678084892235921,0.6524605259655492,0.607419746202881,0.5110286578899584,0.5022852814392152
abl3,0.6543839582446367,0.6901415740251128,0.6342625032935116,0.5576597787673475,0.5745511601916029
abl4,0.6719930274017931,0.6757440244335795,0.6239902981277182,0.5593839573137047,0.574625649421709
abl5,0.6756921782505683,0.6576014993561057,0.6191055528027023,0.5188298549477317,0.5069112040298989
abl6,0.6756955352398285,0.6671075591413334,0.630554453163926,0.537572835357179,0.5298410359684081
